icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
00c841,2020/12/24 13:03:04,Grand Central Airport,2020/12/24 13:17:03,FATA,ZUSNG,12904,449,11817,511,2,3
39b40a,2020/12/24 13:28:49,Béziers-Vias Airport,2020/12/24 13:57:19,Toulouse-Blagnac Airport,NAK67N,14755,1964,1288,98,0,4
e49314,2020/12/24 13:13:34,Congonhas Airport,2020/12/24 13:49:29,SDIN,TAM3108,2098,203,12057,1850,1,2
a5d57d,2020/12/24 13:01:42,Chicago Rockford International Airport,2020/12/24 13:46:23,St. Louis Lambert International Airport,UPS634,2215,596,3656,63,5,7
71bf22,2020/12/24 13:06:37,Gimpo International Airport,2020/12/24 13:36:28,Jinhae Air Base,ABL8825,2160,347,2830,1818,2,2
4028e7,2020/12/24 13:20:25,EGBM,2020/12/24 13:51:09,EGBM,GBNKE,14416,742,7546,468,0,1
406e1b,2020/12/24 13:20:48,EGBM,2020/12/24 13:34:27,EGBO,ELE24,12051,18,1107,5,0,1
3c4dce,2020/12/24 13:05:48,Luxembourg-Findel International Airport,2020/12/24 13:40:09,Frankfurt Airport,DLH9JV,1872,27,967,33,0,5
4aca04,2020/12/24 13:01:31,"Oslo Airport, Gardermoen",2020/12/24 13:35:56,"Haugesund Airport, Karmøy",NAX190,10743,1377,3422,103,0,0
3e0f91,2020/12/24 13:06:02,Berlin Brandenburg Airport,2020/12/24 13:42:10,EDDT,CHX31,4423,119,13325,153,0,3
71c092,2020/12/24 13:21:01,Gimhae International Airport,2020/12/24 13:58:50,Gimpo International Airport,KAL1122,9164,1628,2526,12,0,5
